Date,Open,High,Low,Close,Volume
2026-01-02,4750.12,4785.34,4732.56,4775.89,3245678901
2026-01-03,4775.89,4810.45,4760.23,4795.67,3567890123
2026-01-04,4795.67,4825.78,4770.12,4815.34,3123456789
2026-01-05,4815.34,4845.67,4805.23,4835.91,2987654321
2026-01-06,4835.91,4860.45,4820.34,4850.23,3456789012
2026-01-07,4850.23,4875.67,4835.12,4865.78,3234567890
2026-01-08,4865.78,4890.34,4855.23,4880.45,3012345678
2026-01-09,4880.45,4910.67,4870.12,4905.34,3678901234
2026-01-10,4905.34,4935.78,4895.23,4925.67,3345678901
2026-01-11,4925.67,4950.45,4915.12,4940.23,3123456789
2026-01-12,4940.23,4970.67,4930.34,4960.78,3456789012
2026-01-13,4960.78,4990.34,4950.12,4980.45,3234567890
2026-01-14,4980.45,5010.67,4970.23,5000.34,3789012345
2026-01-15,5000.34,5025.78,4985.12,5015.67,3456789012
2026-01-16,5015.67,5040.45,5005.23,5030.34,3123456789
2026-01-17,5030.34,5060.67,5020.12,5050.78,3678901234
2026-01-18,5050.78,5080.34,5040.23,5070.45,3345678901
2026-01-19,5070.45,5100.67,5060.12,5090.34,3234567890
2026-01-20,5090.34,5120.78,5080.23,5110.67,3456789012
2026-01-21,5110.67,5140.45,5100.12,5130.34,3123456789
2026-01-22,5130.34,5160.67,5120.23,5150.78,3678901234
2026-01-23,5150.78,5180.34,5140.12,5170.45,3345678901
2026-01-24,5170.45,5200.67,5160.23,5190.34,3234567890
2026-01-25,5190.34,5220.78,5180.12,5210.67,3456789012
2026-01-26,5210.67,5240.45,5200.23,5230.34,3123456789
2026-01-27,5230.34,5260.67,5220.12,5250.78,3678901234
2026-01-28,5250.78,5280.34,5240.23,5270.45,3345678901
2026-01-29,5270.45,5300.67,5260.12,5290.34,3234567890
2026-01-30,5290.34,5320.78,5280.23,5310.67,3456789012
2026-01-31,5310.67,5340.45,5300.12,5330.34,3123456789
2026-02-01,5330.34,5360.67,5320.23,5350.78,3678901234
2026-02-02,5350.78,5380.34,5340.12,5370.45,3345678901
2026-02-03,5370.45,5400.67,5360.23,5390.34,3234567890
2026-02-04,5390.34,5420.78,5380.12,5410.67,3456789012
2026-02-05,5410.67,5440.45,5400.23,5430.34,3123456789
2026-02-06,5430.34,5460.67,5420.12,5450.78,3678901234
2026-02-07,5450.78,5480.34,5440.23,5470.45,3345678901
